"Site","Site Address","Site Town","Site County","Site Postcode","Associated Customers"
"100 Savile Street",,"Sheffield","South Yorkshire","S4 7UD","McCarthy's Storage World (Chesterfield) Limited"
"10-11 Carlton House Terrace London SW1Y 5AH","10-11 Carlton House Terrace","London",,"SW1Y 5AH",
"104 Comelybank Drive","104 Comelybank Drive","MEXBOROUGH",,"S64 0EP",
"10 Station Parade Harrogate    North Yorkshire HG1 1UE","10 Station Parade","Harrogate","North Yorkshire","HG1 1UE",
"1102 Warwick Road Birmingham  B27 6DH","1102 Warwick Road","Birmingham",,"B27 6DH",
"110 At The Quays","Newfoundland Way","Portishead","Bristol","BS20 7QF",
"110 High Holborn London WC1V 6JS","110 High Holborn","London",,"WC1V 6JS","Avast"
"111 Comelybank Drive",,"MEXBOROUGH",,"S64 0FD",
"112 Comelybank Drive","112 Comelybank Drive","MEXBOROUGH",,"S64 0EP",
"115 Comelybank Drive","115 Comelybank Drive","MEXBOROUGH",,"S64 0FD",
"1-16 Beaumont Court","Spring Hill","Lincoln",,"LN1 1HE",
"1-17 Clark Grove",,"Ilford",,"IG3 9FD",
"119 Comelybank Drive","119 Comelybank Drive","MEXBOROUGH",,"S64 0FD",
"120 Comelybank Drive","120 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0EP",
"124 Comelybank Drive","124 Comelybank Drive","MEXBOROUGH",,"S64 0EP",
"124 Trinity Street",,,,,
"126 Comelybank Drive","126 Comelybank Drive","MEXBOROUGH",,"S64 0EP",
"129 Comelybank Drive","129 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0FD",
"12 Picton Place London W1U 1BW","12 Picton Place","London",,"W1U 1BW",
"12 Stafford Street","Bedminster",,,"BS3 4DA",
"131 Comelybank Drive","131 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0FD",
"1-33 Harvest Way","1-27 Samuel John Way
1-11 Wagoners Walk
1-9 Mowbray Close","Skegness",,"PE25 2NZ",
"136 Comelybank Drive","136 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0EP",
"137 Newhall Street   Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street   Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street  Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street  Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street  Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham  B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"137 Newhall Street Birmingham B3 1SF","137 Newhall Street","Birmingham",,"B3 1SF",
"13B St George Wharf SW8 2LE","13B St George Wharf",,,"SW8 2LE","Rendall and Rittner Limited"
"16-17 Solent Apartments","South Parade
Southsea","Portsmouth",,"PO5 2AZ",
"163 Comleybank Drive",,"Mexborough",,"S64 0FD",
"1-68 White Horse Lane",,"Boston",,"PE21 7SZ",
"16 Saxton Close","Hasland","Chesterfield",,"S41 0SL","Dales & Peaks Property"
"17-27 (Odds) Market Place Long Eaton",,,,,
"1767 Bradford Road Ellis Court (1-81flats0 Service Charge Fund Co Remus",,,,,
"1767 Bradford Road Joshua 123-150 flats service charge fund Co Remus",,,,,
"17 ComelyBank Drive",,"MEXBOROUGH",,"S64 0FD",
"17 Grasscross House","Archdale Close","Chesterfield",,"S40 2GA","Dales & Peaks Property"
"184 Harrogate Road  Chapel Allerton Leeds  LS7 4NZ","184 Harrogate Road 
Chapel Allerton","Leeds",,"LS7 4NZ",
"184 Harrogate Road  Chapel Allerton  Leeds  West Yorkshire  LS7 4NZ","184 Harrogate Road 
Chapel Allerton 
Leeds 
West Yorkshire 
LS7 4NZ",,,,
"184 Harrogate Road Leeds LS7 2NZ","184 Harrogate Road","Leeds",,"LS7 2NZ",
"184 Harrogate Road Leeds  LS7 4NZ","184 Harrogate Road","Leeds",,"LS7 4NZ",
"184 Harrogate Road Leeds LS7 4NZ","184 Harrogate Road","Leeds",,"LS7 4NZ",
"184 Harrogate Road Leeds LS7 4NZ","184 Harrogate Road","Leeds",,"LS7 4NZ",
"187 Harrogate Road Leeds LS7 4NZ","187 Harrogate Road","Leeds",,"LS7 4NZ",
"1-8 Craigen Gardens","Ilford","London",,"LG3 9FG",
"18 Gladstone Road Croydon Surrey CR0 2BQ","18 Gladstone Road","Croydon","Surrey","CR0 2BQ",
"1910 Developments Limited",,,,,
"197 Comelybank Drive","197 Comelybank Drive","MEXBOROUGH",,"S64 0BX",
"199 Comelybank Drive","199 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0BX",
"19 Comelybank Drive","19 Comelybank Drive","MEXBOROUGH",,"S64 0FD",
"19 Grasscroft House","Archdale close",,,,"Dales & Peaks Property"
"1 Beresford Road","1 Beresford Road","Prenton",,"CH43 1AB",
"1 Fairfax Rise Sheffield South Yorkshire S2 1SL","1 Fairfax Rise","Sheffield","South Yorkshire","S2 1SL","The White House Surgery"
"1 Fewston Way",,"Doncaster",,"DN4 5PL",
"1 Park Sqaure Thorncliffe Business Park Sheffield S35 2PH","1 Park Sqaure
Thorncliffe Business Park","Sheffield",,"S35 2PH",
"1 Sovereign Square Sovereign Street Leeds Leeds LS1 4DA","1 Sovereign Square
Sovereign Street
Leeds","Leeds",,"LS1 4DA",
"1st Floor Dale House","Mount View, Northallerton, North Yorkshire, DL6 2YD",,,,"VolkerRail Limited"
"20-31 Clements Way","Kirkby","Liverpool",,"L33 4BD",
"203 Comely Bank Drive",,"MEXBOROUGH",,"S64 0BX",
"205 Comelybank Drive","205 Comelybank Drive","MEXBOROUGH","South Yorkshire","S64 0BX",
"208 Witham Wharf","Brayford Street","Lincoln",,"LN5 7DH",
"20 Kilderkin Court","Parkside","Coventry",,"CV1 2UH",
"20 Rugby Street Derby de24 8wx","20 Rugby Street","Derby",,"de24 8wx",
"2-18 Clark Grove","Ilford",,,"IG3 9FD",
"21 Atherton Gardens","Pinchbeck","Spalding",,"PE11 3YJ",
"21 Lombard street, Lichfield WS13 6DS","21 Lombard street, Lichfield",,,"WS13 6DS",
"22 Monksfield Ave","20-60 Monksfield Avenue
Great Barr","Birmingham",,"B43 6AZ",
"23 Hampton Street","23 Hampton Street
Hasland","Chesterfield","Derbyshire","S41 0LH","Dales & Peaks Property"
"248 Brimington Road",,"Chesterfield",,,"Dales & Peaks Property"
"24 Comley Bank Drive",,"MEXBOROUGH",,"S64 0EP",
"25-27 Otley Road Leeds LS6 3AA","25-27 Otley Road","Leeds",,"LS6 3AA",
"25 Trentside N West Bridgford  Nottingham NG2 5FJ","25 Trentside N
West Bridgford","Nottingham",,"NG2 5FJ",
"26a Atlas Way Sheffield South Yorkshire S4 7QQ","26a Atlas Way","Sheffield","South Yorkshire","S4 7QQ","Forged Solutions Group Ltd"
"26 Stafford Street","Bedminster","Bristol",,"BS3 4DA",
"28 High Street, Arnold Nottingham NG5 7DZ","28 High Street, Arnold","Nottingham",,"NG5 7DZ",
"2a Dowdeswell Street",,,,"S41 7ER","Dales & Peaks Property"
"2b Dowdeswell Street","2b Dowdeswell Street","Chesterfield",,"S41 7ER","Dales & Peaks Property"
"2 Castle Boulevard Nottingham NG7 1FB","2 Castle Boulevard","Nottingham",,"NG7 1FB","UNiDAYS"
"2one2","Broad Street","Birmingham",,,
"2 Swanton Close",,,,,
"2 Wrawby Street, Brigg",,,,,
"303 City Lofts","Arundel Gate
St Pauls Square","Sheffield",,"S1 2LL",
"30 Broadwick Street London W1F 8JB","30 Broadwick Street","London",,"W1F 8JB",
"32-34 West Barnes Lane",,"London",,"SW20 0BP",
"325 Tyburn Road","325 Tyburn Road","Birmingham",,"B24 8HJ",
"329 Tyburn Road,  Birmingham B24 8HJ","329 Tyburn Road,","Birmingham",,"B24 8HJ",
"33-43a (odds) Waltham Road","Waltham Road
Grimbsy",,"Lincolnshire","DN33 2LY",
