Current Production URL,Final Status,New Architecture Destination,Action Type,Canonical Enforced,Notes
"/","200 OK","/","KEEP_200","self","1:1 Preservation with enriched content & design"
"/24-7-fm-support","200 OK","/24-7-fm-support","KEEP_200","self","1:1 Preservation with enriched content & design"
"/about-entire-facilities-management","200 OK","/about-entire-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/accessibility-statement","200 OK","/accessibility-statement","KEEP_200","self","1:1 Preservation with enriched content & design"
"/aerial-drone-building-inspection","200 OK","/aerial-drone-building-inspection","KEEP_200","self","1:1 Preservation with enriched content & design"
"/airport-facilities-management","200 OK","/airport-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/arena-facilities-management","200 OK","/arena-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/best-facilities-management-company","200 OK","/best-facilities-management-company","KEEP_200","self","1:1 Preservation with enriched content & design"
"/birmingham-facilities-management","200 OK","/birmingham-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/blog","200 OK","/blog","KEEP_200","self","1:1 Preservation with enriched content & design"
"/bocker-crane-hire","200 OK","/bocker-crane-hire","KEEP_200","self","1:1 Preservation with enriched content & design"
"/bolton-facilities-management","200 OK","/bolton-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/bradford-facilities-management","200 OK","/bradford-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/building-inspecting-testing","200 OK","/building-inspecting-testing","KEEP_200","self","1:1 Preservation with enriched content & design"
"/building-maintenance","200 OK","/building-maintenance","KEEP_200","self","1:1 Preservation with enriched content & design"
"/bury-facilities-management","200 OK","/bury-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/caretaker","200 OK","/caretaker","KEEP_200","self","1:1 Preservation with enriched content & design"
"/carpark-management","200 OK","/carpark-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/chesterfield-facilities-management","200 OK","/chesterfield-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/cleaning-services","200 OK","/cleaning-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/client-login","200 OK","/client-login","KEEP_200","self","1:1 Preservation with enriched content & design"
"/client-login/account-registration","200 OK","/client-login/account-registration","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-birmingham","200 OK","/commercial-cleaning-birmingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-chesterfield","200 OK","/commercial-cleaning-chesterfield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-leeds","200 OK","/commercial-cleaning-leeds","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-lincoln","200 OK","/commercial-cleaning-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-london","200 OK","/commercial-cleaning-london","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-manchester","200 OK","/commercial-cleaning-manchester","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-nottingham","200 OK","/commercial-cleaning-nottingham","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-cleaning-sheffield","200 OK","/commercial-cleaning-sheffield","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-facilities-management","200 OK","/commercial-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/commercial-fm-lincoln","200 OK","/commercial-fm-lincoln","KEEP_200","self","1:1 Preservation with enriched content & design"
"/concierge-services","200 OK","/concierge-services","KEEP_200","self","1:1 Preservation with enriched content & design"
"/construction-facilities-management","200 OK","/construction-facilities-management","KEEP_200","self","1:1 Preservation with enriched content & design"
"/contact-us","200 OK","/contact-us","KEEP_200","self","1:1 Preservation with enriched content & design"
"/contract-cleaning","200 OK","/contract-cleaning","KEEP_200","self","1:1 Preservation with enriched content & design"
