sourcePath,targetPath,targetExistsInRegistry
"/about-entire-facilities-management","/client-login",TRUE
"/about-entire-facilities-management","/",TRUE
"/about-entire-facilities-management","/case-studies",FALSE
"/about-entire-facilities-management","/blog",TRUE
"/about-entire-facilities-management","/about-entire-facilities-management",TRUE
"/about-entire-facilities-management","/contact-us",TRUE
"/about-entire-facilities-management","/mechanical-electrical",TRUE
"/about-entire-facilities-management","/hvac-contractor",TRUE
"/about-entire-facilities-management","/ppm",TRUE
"/about-entire-facilities-management","/hard-services",TRUE
"/about-entire-facilities-management","/plumbing-gas",TRUE
"/about-entire-facilities-management","/fire-emergency-systems",TRUE
"/about-entire-facilities-management","/safety-critical-emergency-systems",TRUE
"/about-entire-facilities-management","/building-maintenance",TRUE
"/about-entire-facilities-management","/mechanical-electrical/emergency-light-testing",TRUE
"/about-entire-facilities-management","/mechanical-electrical/access-control",TRUE
"/about-entire-facilities-management","/aerial-drone-building-inspection",TRUE
"/about-entire-facilities-management","/industrial-cleaning",TRUE
"/about-entire-facilities-management","/cleaning-services",TRUE
"/about-entire-facilities-management","/contract-cleaning",TRUE
"/about-entire-facilities-management","/office-cleaning",TRUE
"/about-entire-facilities-management","/pressure-washing",TRUE
"/about-entire-facilities-management","/window-cleaning",TRUE
"/about-entire-facilities-management","/soft-services",TRUE
"/about-entire-facilities-management","/security-services",TRUE
"/about-entire-facilities-management","/concierge-services",TRUE
"/about-entire-facilities-management","/washroom-management",TRUE
"/about-entire-facilities-management","/grounds-maintenance",TRUE
"/about-entire-facilities-management","/industrial-facilities-management",TRUE
"/about-entire-facilities-management","/commercial-facilities-management",TRUE
"/about-entire-facilities-management","/logistics-facilities-management",TRUE
"/about-entire-facilities-management","/warehouse-facilities-management",TRUE
"/about-entire-facilities-management","/retail-facilities-management",TRUE
"/about-entire-facilities-management","/healthcare-facilities-management",TRUE
"/about-entire-facilities-management","/education-facilities-management",TRUE
"/about-entire-facilities-management","/public-sector-facilities-management",TRUE
"/about-entire-facilities-management","/residential-facilities-management",TRUE
"/about-entire-facilities-management","/hotel-facilities-management",TRUE
"/about-entire-facilities-management","/sectors",FALSE
"/about-entire-facilities-management","/fm-london",TRUE
"/about-entire-facilities-management","/facilities-management-london",TRUE
"/about-entire-facilities-management","/london-facilities-management",TRUE
"/about-entire-facilities-management","/facilities-management-manchester",TRUE
"/about-entire-facilities-management","/facilities-management-birmingham",TRUE
"/about-entire-facilities-management","/facilities-management-sheffield",TRUE
"/about-entire-facilities-management","/facilities-management-leeds",TRUE
"/about-entire-facilities-management","/facilities-management-lincoln",TRUE
"/about-entire-facilities-management","/facilities-management-liverpool",TRUE
"/about-entire-facilities-management","/facilities-management-nottingham",TRUE
"/about-entire-facilities-management","/locations",FALSE
"/about-entire-facilities-management","/privacy-policy",TRUE
"/about-entire-facilities-management","/terms-and-conditions",TRUE
"/about-entire-facilities-management","/accessibility-statement",TRUE
"/about-entire-facilities-management","/helpdesk",TRUE
"/about-entire-facilities-management","/sitemap.xml",FALSE
"/accessibility-statement","/client-login",TRUE
"/accessibility-statement","/",TRUE
"/accessibility-statement","/case-studies",FALSE
"/accessibility-statement","/blog",TRUE
"/accessibility-statement","/about-entire-facilities-management",TRUE
"/accessibility-statement","/contact-us",TRUE
"/accessibility-statement","/privacy-policy",TRUE
"/accessibility-statement","/mechanical-electrical",TRUE
"/accessibility-statement","/hvac-contractor",TRUE
"/accessibility-statement","/ppm",TRUE
"/accessibility-statement","/hard-services",TRUE
"/accessibility-statement","/plumbing-gas",TRUE
"/accessibility-statement","/fire-emergency-systems",TRUE
"/accessibility-statement","/safety-critical-emergency-systems",TRUE
"/accessibility-statement","/building-maintenance",TRUE
"/accessibility-statement","/mechanical-electrical/emergency-light-testing",TRUE
"/accessibility-statement","/mechanical-electrical/access-control",TRUE
"/accessibility-statement","/aerial-drone-building-inspection",TRUE
"/accessibility-statement","/industrial-cleaning",TRUE
"/accessibility-statement","/cleaning-services",TRUE
"/accessibility-statement","/contract-cleaning",TRUE
"/accessibility-statement","/office-cleaning",TRUE
"/accessibility-statement","/pressure-washing",TRUE
"/accessibility-statement","/window-cleaning",TRUE
"/accessibility-statement","/soft-services",TRUE
"/accessibility-statement","/security-services",TRUE
"/accessibility-statement","/concierge-services",TRUE
"/accessibility-statement","/washroom-management",TRUE
"/accessibility-statement","/grounds-maintenance",TRUE
"/accessibility-statement","/industrial-facilities-management",TRUE
"/accessibility-statement","/commercial-facilities-management",TRUE
"/accessibility-statement","/logistics-facilities-management",TRUE
"/accessibility-statement","/warehouse-facilities-management",TRUE
"/accessibility-statement","/retail-facilities-management",TRUE
"/accessibility-statement","/healthcare-facilities-management",TRUE
"/accessibility-statement","/education-facilities-management",TRUE
"/accessibility-statement","/public-sector-facilities-management",TRUE
"/accessibility-statement","/residential-facilities-management",TRUE
"/accessibility-statement","/hotel-facilities-management",TRUE
"/accessibility-statement","/sectors",FALSE
"/accessibility-statement","/fm-london",TRUE
"/accessibility-statement","/facilities-management-london",TRUE
"/accessibility-statement","/london-facilities-management",TRUE
"/accessibility-statement","/facilities-management-manchester",TRUE
"/accessibility-statement","/facilities-management-birmingham",TRUE
"/accessibility-statement","/facilities-management-sheffield",TRUE
"/accessibility-statement","/facilities-management-leeds",TRUE
"/accessibility-statement","/facilities-management-lincoln",TRUE
"/accessibility-statement","/facilities-management-liverpool",TRUE
"/accessibility-statement","/facilities-management-nottingham",TRUE
"/accessibility-statement","/locations",FALSE
"/accessibility-statement","/terms-and-conditions",TRUE
"/accessibility-statement","/accessibility-statement",TRUE
"/accessibility-statement","/helpdesk",TRUE
"/accessibility-statement","/sitemap.xml",FALSE
"/24-7-fm-support","/client-login",TRUE
"/24-7-fm-support","/",TRUE
"/24-7-fm-support","/case-studies",FALSE
"/24-7-fm-support","/blog",TRUE
"/24-7-fm-support","/about-entire-facilities-management",TRUE
"/24-7-fm-support","/contact-us",TRUE
"/24-7-fm-support","/services",TRUE
"/24-7-fm-support","/mechanical-electrical",TRUE
"/24-7-fm-support","/ppm",TRUE
"/24-7-fm-support","/hard-services",TRUE
"/24-7-fm-support","/hvac-contractor",TRUE
"/24-7-fm-support","/plumbing-gas",TRUE
"/24-7-fm-support","/fire-emergency-systems",TRUE
"/24-7-fm-support","/safety-critical-emergency-systems",TRUE
"/24-7-fm-support","/building-maintenance",TRUE
"/24-7-fm-support","/mechanical-electrical/emergency-light-testing",TRUE
"/24-7-fm-support","/mechanical-electrical/access-control",TRUE
"/24-7-fm-support","/aerial-drone-building-inspection",TRUE
"/24-7-fm-support","/industrial-cleaning",TRUE
"/24-7-fm-support","/cleaning-services",TRUE
"/24-7-fm-support","/contract-cleaning",TRUE
"/24-7-fm-support","/office-cleaning",TRUE
"/24-7-fm-support","/pressure-washing",TRUE
"/24-7-fm-support","/window-cleaning",TRUE
"/24-7-fm-support","/soft-services",TRUE
"/24-7-fm-support","/security-services",TRUE
"/24-7-fm-support","/concierge-services",TRUE
"/24-7-fm-support","/washroom-management",TRUE
"/24-7-fm-support","/grounds-maintenance",TRUE
"/24-7-fm-support","/industrial-facilities-management",TRUE
"/24-7-fm-support","/commercial-facilities-management",TRUE
"/24-7-fm-support","/logistics-facilities-management",TRUE
"/24-7-fm-support","/warehouse-facilities-management",TRUE
"/24-7-fm-support","/retail-facilities-management",TRUE
"/24-7-fm-support","/healthcare-facilities-management",TRUE
"/24-7-fm-support","/education-facilities-management",TRUE
"/24-7-fm-support","/public-sector-facilities-management",TRUE
"/24-7-fm-support","/residential-facilities-management",TRUE
"/24-7-fm-support","/hotel-facilities-management",TRUE
"/24-7-fm-support","/sectors",FALSE
"/24-7-fm-support","/fm-london",TRUE
"/24-7-fm-support","/facilities-management-london",TRUE
"/24-7-fm-support","/london-facilities-management",TRUE
"/24-7-fm-support","/facilities-management-manchester",TRUE
"/24-7-fm-support","/facilities-management-birmingham",TRUE
"/24-7-fm-support","/facilities-management-sheffield",TRUE
"/24-7-fm-support","/facilities-management-leeds",TRUE
"/24-7-fm-support","/facilities-management-lincoln",TRUE
"/24-7-fm-support","/facilities-management-liverpool",TRUE
"/24-7-fm-support","/facilities-management-nottingham",TRUE
"/24-7-fm-support","/locations",FALSE
"/24-7-fm-support","/privacy-policy",TRUE
"/24-7-fm-support","/terms-and-conditions",TRUE
"/24-7-fm-support","/accessibility-statement",TRUE
"/24-7-fm-support","/helpdesk",TRUE
"/24-7-fm-support","/sitemap.xml",FALSE
"/aerial-drone-building-inspection","/client-login",TRUE
"/aerial-drone-building-inspection","/",TRUE
"/aerial-drone-building-inspection","/case-studies",FALSE
"/aerial-drone-building-inspection","/blog",TRUE
"/aerial-drone-building-inspection","/about-entire-facilities-management",TRUE
"/aerial-drone-building-inspection","/contact-us",TRUE
"/aerial-drone-building-inspection","/services",TRUE
"/aerial-drone-building-inspection","/mechanical-electrical",TRUE
"/aerial-drone-building-inspection","/ppm",TRUE
"/aerial-drone-building-inspection","/hard-services",TRUE
"/aerial-drone-building-inspection","/hvac-contractor",TRUE
"/aerial-drone-building-inspection","/plumbing-gas",TRUE
"/aerial-drone-building-inspection","/fire-emergency-systems",TRUE
"/aerial-drone-building-inspection","/safety-critical-emergency-systems",TRUE
"/aerial-drone-building-inspection","/building-maintenance",TRUE
"/aerial-drone-building-inspection","/mechanical-electrical/emergency-light-testing",TRUE
"/aerial-drone-building-inspection","/mechanical-electrical/access-control",TRUE
"/aerial-drone-building-inspection","/aerial-drone-building-inspection",TRUE
"/aerial-drone-building-inspection","/industrial-cleaning",TRUE
"/aerial-drone-building-inspection","/cleaning-services",TRUE
"/aerial-drone-building-inspection","/contract-cleaning",TRUE
"/aerial-drone-building-inspection","/office-cleaning",TRUE
"/aerial-drone-building-inspection","/pressure-washing",TRUE
"/aerial-drone-building-inspection","/window-cleaning",TRUE
"/aerial-drone-building-inspection","/soft-services",TRUE
"/aerial-drone-building-inspection","/security-services",TRUE
"/aerial-drone-building-inspection","/concierge-services",TRUE
"/aerial-drone-building-inspection","/washroom-management",TRUE
"/aerial-drone-building-inspection","/grounds-maintenance",TRUE
"/aerial-drone-building-inspection","/industrial-facilities-management",TRUE
