DEPRECATED — DO NOT USE FOR IMPLEMENTATION
AUTHORITATIVE SOURCE: /config/route-registry.json
This file contains redirect instructions that violate the legacy URL preservation rule.
See /docs/seo-rebuild/ARCHITECTURE-CONFLICT-AUDIT.md for full conflict documentation.

source_generation,source_url,last_modified,http_status,page_category,page_type,intent_cluster,target_g3_url,redirect_action,priority,notes
G1,https://petercurrey.wixsite.com/efm-new,2024-12-11,200,Home,home,brand-navigation,https://entirefm.com/,301,1,Homepage — all three gens have this
G2,https://petercurrey.wixstudio.com/efmsut17724,2025-08-30,200,Home,home,brand-navigation,https://entirefm.com/,301,1,G2 homepage redirect
G1,https://petercurrey.wixsite.com/efm-new/mechanical-electrical,2024-12-11,200,Services,service,hard-fm,https://entirefm.com/mechanical-electrical,301,1,Confirmed live on G3
G2,https://petercurrey.wixstudio.com/efmsut17724/mechanical-electrical,2025-08-30,200,Services,service,hard-fm,https://entirefm.com/mechanical-electrical,301,1,Confirmed live on G3
G3-old,https://entirefm.com/mechanical-electrical,,200,Services,service,hard-fm,https://entirefm.com/services/me-services,301,1,G3 has /mechanical-electrical AND /services/me-services — canonical should be /services/me-services
G1,https://petercurrey.wixsite.com/efm-new/hvac-contractor,2024-12-11,200,Services,service,hard-fm,https://entirefm.com/services/me-services,301,1,HVAC merged into M&E services
G2,https://petercurrey.wixstudio.com/efmsut17724/hvac-contractor,2025-08-30,200,Services,service,hard-fm,https://entirefm.com/services/me-services,301,1,HVAC merged into M&E services
G1,https://petercurrey.wixsite.com/efm-new/industrial-cleaning,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/industrial-cleaning,301,1,Core service page — high volume keyword
G2,https://petercurrey.wixstudio.com/efmsut17724/industrial-cleaning,2025-08-30,200,Services,service,soft-fm,https://entirefm.com/services/industrial-cleaning,301,1,Core service page
G1,https://petercurrey.wixsite.com/efm-new/hard-services,2024-12-11,200,Services,service,hard-fm,https://entirefm.com/services/hard-services,301,1,Confirmed live on G3
G2,https://petercurrey.wixstudio.com/efmsut17724/hard-services,2025-08-30,200,Services,service,hard-fm,https://entirefm.com/services/hard-services,301,1,Confirmed live on G3
G1,https://petercurrey.wixsite.com/efm-new/plumbing-gas,2024-12-11,200,Services,service,hard-fm,https://entirefm.com/services/plumbing-gas,301,2,Plumbing & gas — sub-service of hard FM
G2,https://petercurrey.wixstudio.com/efmsut17724/plumbing-gas,2025-08-30,200,Services,service,hard-fm,https://entirefm.com/services/plumbing-gas,301,2,Plumbing & gas — sub-service of hard FM
G1,https://petercurrey.wixsite.com/efm-new/ppm,2024-12-11,200,Services,service,ppm,https://entirefm.com/services/ppm,301,1,PPM — Planned Preventative Maintenance
G2,https://petercurrey.wixstudio.com/efmsut17724/ppm,2025-08-30,200,Services,service,ppm,https://entirefm.com/services/ppm,301,1,Confirmed live on G3
G1,https://petercurrey.wixsite.com/efm-new/fire-emergency-systems,2024-12-11,200,Services,service,safety-compliance,https://entirefm.com/services/fire-emergency-systems,301,1,Safety critical — must not lose
G2,https://petercurrey.wixstudio.com/efmsut17724/safety-critical-emergency-systems,2025-08-30,200,Services,service,safety-compliance,https://entirefm.com/services/fire-emergency-systems,301,1,Renamed between G1 and G2 — map both
G1,https://petercurrey.wixsite.com/efm-new/soft-services,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/soft-fm,301,1,Soft services umbrella page
G1,https://petercurrey.wixsite.com/efm-new/cleaning-services,2024-12-11,200,Services,service,cleaning,https://entirefm.com/services/cleaning,301,1,Broad cleaning services hub
G1,https://petercurrey.wixsite.com/efm-new/contract-cleaning,2024-12-11,200,Services,service,cleaning,https://entirefm.com/services/contract-cleaning,301,2,Contract cleaning generic
G1,https://petercurrey.wixsite.com/efm-new/office-cleaning,2024-12-11,200,Services,service,cleaning,https://entirefm.com/services/office-cleaning,301,2,Office cleaning
G1,https://petercurrey.wixsite.com/efm-new/window-cleaning,2024-12-11,200,Services,service,cleaning,https://entirefm.com/services/window-cleaning,301,2,Window cleaning
G1,https://petercurrey.wixsite.com/efm-new/pressure-washing,2024-12-11,200,Services,service,cleaning,https://entirefm.com/services/pressure-washing,301,2,Pressure washing
G1,https://petercurrey.wixsite.com/efm-new/internal-cleaning,2024-12-11,200,Services,service,cleaning,https://entirefm.com/services/internal-cleaning,301,2,Internal cleaning service
G1,https://petercurrey.wixsite.com/efm-new/external-cleaning-london,2024-12-11,200,Services,service-location,cleaning,https://entirefm.com/services/external-cleaning,301,2,Location-specific — external cleaning London
G1,https://petercurrey.wixsite.com/efm-new/external-cleaning-lincoln,2024-12-11,200,Services,service-location,cleaning,https://entirefm.com/services/external-cleaning,301,3,Location-specific
G1,https://petercurrey.wixsite.com/efm-new/external-cleaning-birmingham,2024-12-11,200,Services,service-location,cleaning,https://entirefm.com/services/external-cleaning,301,3,Location-specific
G1,https://petercurrey.wixsite.com/efm-new/external-cleaning-manchester,2024-12-11,200,Services,service-location,cleaning,https://entirefm.com/services/external-cleaning,301,3,Location-specific
G1,https://petercurrey.wixsite.com/efm-new/reactive-cleaning-services,2024-12-11,200,Services,service,cleaning,https://entirefm.com/services/reactive-cleaning,301,2,Reactive cleaning
G1,https://petercurrey.wixsite.com/efm-new/medical-cleaning,2024-12-11,200,Services,service,cleaning-sector,https://entirefm.com/services/medical-cleaning,301,2,Medical/healthcare cleaning
G1,https://petercurrey.wixsite.com/efm-new/education-cleaning,2024-12-11,200,Services,service,cleaning-sector,https://entirefm.com/services/education-cleaning,301,2,Education cleaning
G1,https://petercurrey.wixsite.com/efm-new/retail-cleaning,2024-12-11,200,Services,service,cleaning-sector,https://entirefm.com/services/retail-cleaning,301,2,Retail cleaning
G1,https://petercurrey.wixsite.com/efm-new/residential-cleaning,2024-12-11,200,Services,service,cleaning-sector,https://entirefm.com/services/residential-cleaning,301,2,Residential cleaning
G1,https://petercurrey.wixsite.com/efm-new/vending-supplier,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/vending,301,3,Vending — minor service line
G1,https://petercurrey.wixsite.com/efm-new/caretaker,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/caretaker,301,3,Caretaker service
G1,https://petercurrey.wixsite.com/efm-new/concierge-services,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/concierge,301,2,Concierge / front of house
G1,https://petercurrey.wixsite.com/efm-new/security-services,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/security,301,2,Security services
G1,https://petercurrey.wixsite.com/efm-new/washroom-management,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/washroom-management,301,3,Washroom services
G1,https://petercurrey.wixsite.com/efm-new/landscaping,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/landscaping,301,2,Landscaping/grounds
G1,https://petercurrey.wixsite.com/efm-new/grounds-maintenance,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/grounds-maintenance,301,2,Grounds maintenance
G1,https://petercurrey.wixsite.com/efm-new/carpark-management,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/carpark-management,301,3,Car park management
G1,https://petercurrey.wixsite.com/efm-new/gates-barriers,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/gates-barriers,301,3,Gates and barriers
G1,https://petercurrey.wixsite.com/efm-new/aerial-drone-building-inspection,2024-12-11,200,Services,service,inspection,https://entirefm.com/services/aerial-drone-inspection,301,2,Drone inspection — specialist service
G2,https://petercurrey.wixstudio.com/efmsut17724/aerial-drone-building-inspection,2025-08-30,200,Services,service,inspection,https://entirefm.com/services/aerial-drone-inspection,301,2,Drone inspection
G2,https://petercurrey.wixstudio.com/efmsut17724/building-inspecting-testing,2025-08-30,200,Services,service,inspection,https://entirefm.com/services/building-inspection,301,2,Building inspection & testing
G1,https://petercurrey.wixsite.com/efm-new/building-maintenance,2024-12-11,200,Services,service,hard-fm,https://entirefm.com/services/building-maintenance,301,2,Building maintenance
G1,https://petercurrey.wixsite.com/efm-new/working-at-heights,2024-12-11,200,Services,service,hard-fm,https://entirefm.com/services/working-at-heights,301,2,Working at heights
G1,https://petercurrey.wixsite.com/efm-new/fm-supply-chain,2024-12-11,200,Services,service,procurement,https://entirefm.com/marketplace,301,2,Supply chain / marketplace
G1,https://petercurrey.wixsite.com/efm-new/fm-technical-services,2024-12-11,200,Services,service,hard-fm,https://entirefm.com/services/hard-services,301,2,Technical services — merge into hard FM
G1,https://petercurrey.wixsite.com/efm-new/media-digital-displays,2024-12-11,200,Services,service,soft-fm,https://entirefm.com/services/digital-displays,301,3,Digital displays / media service
G2,https://petercurrey.wixstudio.com/efmsut17724/mechanical-electrical/access-control,2025-08-30,200,Services,service-sub,hard-fm,https://entirefm.com/services/me-services/access-control,301,2,Sub-page — access control
G2,https://petercurrey.wixstudio.com/efmsut17724/mechanical-electrical/emergency-light-testing,2025-08-30,200,Services,service-sub,safety-compliance,https://entirefm.com/services/me-services/emergency-light-testing,301,2,Sub-page — emergency light testing
G2,https://petercurrey.wixstudio.com/efmsut17724/mobile-crane-hire,2025-08-30,200,Services,service,specialist,https://entirefm.com/services/crane-hire,301,2,Mobile crane hire — new in G2
G2,https://petercurrey.wixstudio.com/efmsut17724/mobile-crane-hire/sheffield,2025-08-30,200,Services,service-location,specialist,https://entirefm.com/services/crane-hire/sheffield,301,2,Crane hire Sheffield
G2,https://petercurrey.wixstudio.com/efmsut17724/mobile-crane-hire/chesterfield,2025-08-30,200,Services,service-location,specialist,https://entirefm.com/services/crane-hire/chesterfield,301,3,Crane hire Chesterfield
