path,onWixG1,onWixG2,productionStatus,productionRedirectTarget,inProductionSitemap,inRebuildRegistry,rebuildRouteType,rebuildRendersHtml
/,yes,yes,200,,yes,yes,home,yes
/24-7-fm-support,yes,no,404,,no,yes,service,yes
/about-entire-facilities-management,yes,yes,404,,no,yes,company,yes
/accessibility-statement,no,yes,404,,no,yes,legal,yes
/aerial-drone-building-inspection,yes,yes,200,,yes,yes,service,yes
/airport-facilities-management,yes,yes,200,,yes,yes,sector,yes
/arena-facilities-management,yes,yes,200,,yes,yes,sector,yes
/best-facilities-management-company,yes,no,404,,no,yes,company,yes
/blog,no,yes,308,https://www.entirefm.com/resources,yes,yes,post,yes
/bocker-crane-hire,no,yes,404,,no,yes,service,yes
/building-inspecting-testing,no,yes,308,https://www.entirefm.com/services/building-inspections,no,yes,service,yes
/building-maintenance,yes,no,404,,no,yes,service,yes
/caretaker,yes,no,404,,no,yes,service,yes
/carpark-management,yes,no,404,,no,yes,service,yes
/cleaning-services,yes,no,404,,no,yes,service,yes
/client-login,no,yes,307,https://www.entirefm.com/resources,no,yes,company,yes
/client-login/account-registration,no,yes,307,https://www.entirefm.com/resources,no,yes,company,yes
/commercial-cleaning-birmingham,yes,no,404,,no,yes,geographic-service,yes
/commercial-cleaning-chesterfield,yes,no,404,,no,yes,geographic-service,yes
/commercial-cleaning-leeds,yes,no,404,,no,yes,geographic-service,yes
/commercial-cleaning-lincoln,yes,no,404,,no,yes,geographic-service,yes
/commercial-cleaning-london,yes,no,404,,no,yes,geographic-service,yes
/commercial-cleaning-manchester,yes,no,404,,no,yes,geographic-service,yes
/commercial-cleaning-nottingham,yes,no,404,,no,yes,geographic-service,yes
/commercial-cleaning-sheffield,yes,no,404,,no,yes,geographic-service,yes
/commercial-facilities-management,yes,yes,200,,yes,yes,sector,yes
/commercial-fm-lincoln,yes,no,404,,no,yes,location,yes
/concierge-services,yes,no,404,,no,yes,service,yes
/construction-facilities-management,yes,no,404,,no,yes,sector,yes
/contact-us,no,yes,308,https://www.entirefm.com/contact,no,yes,company,yes
/contract-cleaning,yes,no,404,,no,yes,service,yes
/contract-cleaning-chesterfield,yes,no,404,,no,yes,geographic-service,yes
/contract-cleaning-leeds,yes,no,404,,no,yes,geographic-service,yes
/contract-cleaning-lincoln,yes,no,404,,no,yes,geographic-service,yes
/contract-cleaning-london,yes,no,404,,no,yes,geographic-service,yes
/contract-cleaning-manchester,yes,no,404,,no,yes,geographic-service,yes
/contract-cleaning-sheffield,yes,no,404,,no,yes,geographic-service,yes
/copy-of-helpdesk-registration,yes,no,404,,no,yes,company,yes
/copy-of-industrial-cleaning,yes,no,404,,no,yes,service,yes
/copy-of-what-is-facilities-manageme,yes,no,404,,no,yes,service,yes
/education-cleaning,yes,no,404,,no,yes,service,yes
/education-facilities-management,yes,no,200,,yes,yes,sector,yes
/employment-portal,yes,no,404,,no,yes,company,yes
/external-cleaning-birmingham,yes,no,404,,no,yes,geographic-service,yes
/external-cleaning-lincoln,yes,no,404,,no,yes,geographic-service,yes
/external-cleaning-london,yes,no,404,,no,yes,geographic-service,yes
/external-cleaning-manchester,yes,no,404,,no,yes,geographic-service,yes
/facilities-management-birmingham,yes,yes,308,https://www.entirefm.com/fm-birmingham,no,yes,location,yes
/facilities-management-blog,yes,no,404,,no,yes,post,yes
/facilities-management-bradford,yes,yes,200,,yes,yes,location,yes
/facilities-management-chesterfield,yes,yes,308,https://www.entirefm.com/fm-chesterfield,no,yes,location,yes
/facilities-management-derby,yes,yes,308,https://www.entirefm.com/fm-derby,no,yes,location,yes
