Date,Clicks,Impressions,CTR,Position
2026-05-07,5,647,0.77%,33.2
2026-05-08,2,591,0.34%,32.4
2026-05-09,2,489,0.41%,37
2026-05-10,1,513,0.19%,39.6
2026-05-11,1,684,0.15%,34.9
2026-05-12,6,640,0.94%,36.2
2026-05-13,8,879,0.91%,37.3
2026-05-14,4,1112,0.36%,36.7
2026-05-15,4,1290,0.31%,39.8
2026-05-16,1,1192,0.08%,41.4
2026-05-17,2,1308,0.15%,41.9
2026-05-18,4,1648,0.24%,38.4
2026-05-19,6,1714,0.35%,40.5
2026-05-20,7,1764,0.4%,40.2
2026-05-21,7,1751,0.4%,40
2026-05-22,3,1698,0.18%,42.6
2026-05-23,1,1606,0.06%,44.2
2026-05-24,0,1481,0%,42.2
2026-05-25,8,1577,0.51%,42.9
2026-05-26,5,1393,0.36%,41.2
2026-05-27,5,1545,0.32%,39.5
2026-05-28,4,1779,0.22%,40.7
2026-05-29,3,1564,0.19%,39.5
2026-05-30,1,1466,0.07%,39.4
2026-05-31,1,1381,0.07%,38.4
2026-06-01,8,1507,0.53%,34.2
2026-06-02,6,1329,0.45%,33.9
2026-06-03,10,1446,0.69%,33.8
2026-06-04,9,1691,0.53%,33.5
2026-06-05,8,1775,0.45%,38.4
2026-06-06,2,1409,0.14%,39.4
2026-06-07,1,1291,0.08%,39.4
2026-06-08,9,1491,0.6%,34.7
2026-06-09,8,1473,0.54%,33.7
2026-06-10,11,1422,0.77%,34.4
2026-06-11,6,1521,0.39%,35.2
2026-06-12,12,1624,0.74%,32.9
2026-06-13,1,1377,0.07%,34.4
2026-06-14,1,1238,0.08%,34.5
2026-06-15,6,1663,0.36%,31.8
2026-06-16,12,1367,0.88%,33
2026-06-17,4,1665,0.24%,34.8
2026-06-18,5,1829,0.27%,33.5
2026-06-19,5,1834,0.27%,35.8
2026-06-20,0,1553,0%,36.2
2026-06-21,2,1572,0.13%,36
2026-06-22,8,1638,0.49%,34.4
2026-06-23,3,2068,0.15%,35.2
2026-06-24,5,1659,0.3%,37.3
2026-06-25,5,1882,0.27%,41.4
2026-06-26,4,1616,0.25%,37.8
2026-06-27,2,1462,0.14%,37.3
2026-06-28,0,1344,0%,38.8
2026-06-29,3,1665,0.18%,35.9
2026-06-30,9,1629,0.55%,34.8
2026-07-01,5,1695,0.29%,34.9
2026-07-02,5,1670,0.3%,35.1
2026-07-03,8,1601,0.5%,36
2026-07-04,1,1990,0.05%,28.7
2026-07-05,5,1425,0.35%,35.2
2026-07-06,5,1753,0.29%,36.6
2026-07-07,8,1598,0.5%,32.3
2026-07-08,9,1662,0.54%,34
2026-07-09,7,1841,0.38%,34.2
2026-07-10,9,1630,0.55%,33.3
2026-07-11,1,1782,0.06%,30
2026-07-12,1,1371,0.07%,35.2
2026-07-13,6,1631,0.37%,35.4
2026-07-14,11,1380,0.8%,33.4
2026-07-15,6,1454,0.41%,33.7
2026-07-16,5,1550,0.32%,33.1
2026-07-17,5,1389,0.36%,35.9
2026-07-18,1,1292,0.08%,34.8
2026-07-19,0,1121,0%,34.1
2026-07-20,9,1481,0.61%,35
2026-07-21,9,1626,0.55%,31.7
2026-07-22,12,1416,0.85%,33.2
2026-07-23,17,1666,1.02%,32.7
2026-07-24,4,1359,0.29%,34.9
2026-07-25,0,1284,0%,36
2026-07-26,2,1109,0.18%,36.9
2026-07-27,4,1575,0.25%,35.6
2026-07-28,6,1428,0.42%,37.7
2026-07-29,7,1342,0.52%,37.1
2026-07-30,8,1787,0.45%,37.6
2026-07-31,2,1632,0.12%,41.3
2026-08-01,1,1442,0.07%,41.9
2026-08-02,1,1347,0.07%,39.1
2026-08-03,12,1129,1.06%,39.5
2026-08-04,11,1414,0.78%,37.9
2026-08-05,7,1510,0.46%,38.6
2026-08-06,4,1713,0.23%,40
2026-08-07,2,1354,0.15%,39.9
2026-08-08,0,1450,0%,40
2026-08-09,2,1299,0.15%,38.8
2026-08-10,7,1510,0.46%,36.4
2026-08-11,3,1624,0.18%,31.2
2026-08-12,2,1234,0.16%,36.3
2026-08-13,2,1578,0.13%,36
2026-08-14,5,1265,0.4%,36.9
2026-08-15,1,1114,0.09%,36.3
2026-08-16,5,1229,0.41%,36.4
2026-08-17,4,1245,0.32%,34.7
2026-08-18,5,1504,0.33%,31.3
2026-08-19,6,1314,0.46%,37.5
2026-08-20,7,1559,0.45%,36.7
