Exact Historic URL,Path,Wix Generation 1,Wix Generation 2,Historic Evidence,Historic Page Type,Historic Title,Historic H1,Historic Search Intent,Current Production Status,Current Canonical,Redirecting?,Final Required Behaviour,Content Status,QA Status
"https://www.entirefm.com/","/","YES","YES","wix-generation-1-and-2","undefined","Entire FM | Total Facilities Management Services UK","Facilities management,without the friction.","undefined - ","200 OK","https://www.entirefm.com","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/24-7-fm-support","/24-7-fm-support","YES","YES","wix-generation-1","undefined","24 7 Fm Support | Facilities Management &amp; Engineering | Entire FM","24 7 Fm Support — Facilities Management &amp; Engineering","undefined - 24 7 fm support","200 OK","https://www.entirefm.com/24-7-fm-support","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/about-entire-facilities-management","/about-entire-facilities-management","YES","YES","wix-generation-1-and-2","undefined","About EntireFM | Independent Facilities Management Since 2009","Independently owned. Building maintenance since 2009.","undefined - about entire facilities management","200 OK","https://www.entirefm.com/about-entire-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/academy","/academy","RECOVERED","RECOVERED","LEGACY_PROTECTED_BY_DIRECTIVE","undefined","EntireFM Academy | Professional Facilities Management Learning | Entire FM","EntireFM Academy — Practical Facilities Learning","undefined - academy","200 OK","https://www.entirefm.com/academy","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/access-control","/access-control","YES","YES","LEGACY_VERIFIED","undefined","Access Control Systems | Installation &amp; Maintenance | EntireFM","Commercial Access Control Systems","undefined - access control","200 OK","https://www.entirefm.com/access-control","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/accessibility-statement","/accessibility-statement","YES","YES","wix-generation-2","undefined","Accessibility Statement | Entire FM","Accessibility Statement","undefined - accessibility statement","200 OK","https://www.entirefm.com/accessibility-statement","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/account-registration","/account-registration","YES","YES","LEGACY_VERIFIED","undefined","Client Account Registration | EntireFM","Client Account Registration","undefined - account registration","200 OK","https://www.entirefm.com/account-registration","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/aerial-drone-building-inspection","/aerial-drone-building-inspection","YES","YES","wix-generation-1-and-2","undefined","Aerial Drone Building Inspections | High-Level Surveys | Entire FM","Aerial Drone Building Inspections &amp; Roof Surveys","undefined - aerial drone building inspection","200 OK","https://www.entirefm.com/aerial-drone-building-inspection","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/airport-facilities-management","/airport-facilities-management","YES","YES","wix-generation-1-and-2","undefined","Airport Facilities Management | Terminal &amp; Airside Engineering | Entire FM","Airport &amp; Aviation Terminal Facilities Management 24/7 Throughput &amp; Loading Bay Availability","undefined - airport facilities management","200 OK","https://www.entirefm.com/airport-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
"https://www.entirefm.com/arena-facilities-management","/arena-facilities-management","YES","YES","wix-generation-1-and-2","undefined","Arena Facilities Management | Entertainment Complex FM | Entire FM","Arena &amp; Large Entertainment Complex Facilities Management High-Capacity Crowds &amp; Event Readiness","undefined - arena facilities management","200 OK","https://www.entirefm.com/arena-facilities-management","NO","HTTP 200 Self-Canonical Indexable","COMPLETE","PASS"
