URL,City,Historic/New,Primary Intent,Hero Unique,Local Intro,Local Services,Local Sectors,Local Context,Local Coverage,Local FAQ,Unique CTA,Relevant Images,Internal Links,Rendered Similarity,SEO Status,Visual Status
"https://www.entirefm.com/birmingham-facilities-management","Birmingham","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/bolton-facilities-management","Bolton","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/bradford-facilities-management","Bradford","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/bury-facilities-management","Bury","NEW_GROWTH","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/chesterfield","Chesterfield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","128","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/chesterfield-facilities-management","Chesterfield","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-birmingham","Birmingham","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-chesterfield","Chesterfield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-leeds","Leeds","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-lincoln","Lincoln","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-london","London","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-manchester","Manchester","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-nottingham","Nottingham","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-cleaning-sheffield","Sheffield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/commercial-fm-lincoln","Lincoln","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/contract-cleaning-chesterfield","Chesterfield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/contract-cleaning-leeds","Leeds","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/contract-cleaning-lincoln","Lincoln","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/contract-cleaning-london","London","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/contract-cleaning-manchester","Manchester","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/contract-cleaning-sheffield","Sheffield","HISTORIC","geographic-service","YES","YES","YES","YES","YES","YES","YES","YES","YES","127","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
"https://www.entirefm.com/derby-facilities-management","Derby","HISTORIC","location","YES","YES","YES","YES","YES","YES","YES","YES","YES","129","< 0.35 (Differentiated)","PASS (200 OK)","HOMEPAGE_STANDARD (13 Sections)"
